127.0.0.1 - - [15/Jun/2022:09:14:00 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [15/Jun/2022:09:14:02 +0900] "GET /XmlApp03/XmlApp03.html HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [15/Jun/2022:09:14:02 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [15/Jun/2022:09:21:18 +0900] "GET /XmlApp03/XmlApp03.html HTTP/1.1" 200 1436
0:0:0:0:0:0:0:1 - - [15/Jun/2022:09:21:33 +0900] "GET /XmlApp03/XmlApp03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2022:09:21:34 +0900] "GET /XmlApp03/XmlApp03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2022:09:21:34 +0900] "GET /XmlApp03/XmlApp03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2022:09:21:34 +0900] "GET /XmlApp03/XmlApp03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2022:09:21:35 +0900] "GET /XmlApp03/XmlApp03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2022:09:21:35 +0900] "GET /XmlApp03/XmlApp03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2022:09:21:37 +0900] "GET /XmlApp03/XmlApp03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2022:09:21:37 +0900] "GET /XmlApp03/XmlApp03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2022:09:21:37 +0900] "GET /XmlApp03/XmlApp03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2022:09:21:37 +0900] "GET /XmlApp03/XmlApp03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2022:09:21:37 +0900] "GET /XmlApp03/XmlApp03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2022:09:21:47 +0900] "GET /XmlApp03/XmlApp03.html HTTP/1.1" 200 1433
0:0:0:0:0:0:0:1 - - [15/Jun/2022:09:23:08 +0900] "GET /XmlApp03/XmlApp03.html HTTP/1.1" 200 1515
0:0:0:0:0:0:0:1 - - [15/Jun/2022:09:23:11 +0900] "GET /XmlApp03/koreanMajorCities.xml HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Jun/2022:09:23:36 +0900] "GET /XmlApp03/XmlApp03.html HTTP/1.1" 304 -
